Song:
	samples=10577664
	channels=2
	BPM=127.5258
	points=20660
Idx                 Time                Start Sample        End Sample          delta               rawBPM              BPM                 
821                 9.531792            840704              841727              0                   0                   0                   
840                 9.752381            860160              861183              0.2205896           271.9983            135.9991            
900                 10.44898            921600              922623              0.6965981           86.13289            172.2658            
922                 10.7044             944128              945151              0.2554197           234.9075            117.4537            
979                 11.36617            1002496             1003519             0.6617689           90.66609            181.3322            
1002                11.6332             1026048             1027071             0.2670288           224.6949            112.3474            
1062                12.3298             1087488             1088511             0.696599            86.13277            172.2655            
1141                13.24698            1168384             1169407             0.9171886           65.4173             130.8346            
1163                13.5024             1190912             1191935             0.2554188           234.9083            117.4542            
1222                14.18739            1251328             1252351             0.684989            87.59265            175.1853            
1224                14.21061            1253376             1254399             0.02322006          2583.972            80.74914            
1244                14.44281            1273856             1274879             0.2321997           258.3983            129.1992            
1304                15.13941            1335296             1336319             0.6965981           86.13289            172.2658            
1325                15.38322            1356800             1357823             0.2438097           246.0936            123.0468            
1365                15.84762            1397760             1398783             0.4643993           129.1992            129.1992            
1377                15.98694            1410048             1411071             0.1393194           430.665             107.6663            
1395                16.19592            1428480             1429503             0.2089806           287.108             143.554             
1405                16.31202            1438720             1439743             0.1160984           516.803             129.2007            
1433                16.6371             1467392             1468415             0.3250809           184.5695            92.28473            
1464                16.99701            1499136             1500159             0.3599091           166.7088            83.35439            
1485                17.24082            1520640             1521663             0.2438087           246.0945            123.0473            
1545                17.93741            1582080             1583103             0.6965981           86.13289            172.2658            
1564                18.158              1601536             1602559             0.2205906           271.9971            135.9986            
1625                18.86621            1664000             1665023             0.7082081           84.72086            169.4417            
1633                18.95909            1672192             1673215             0.09288025          645.9931            80.74914            
1646                19.11002            1685504             1686527             0.1509304           397.5342            99.38355            
1681                19.51637            1721344             1722367             0.4063492           147.6563            147.6563            
1704                19.7834             1744896             1745919             0.2670288           224.6949            112.3474            
1709                19.84145            1750016             1751039             0.05805016          1033.589            129.1986            
1726                20.03882            1767424             1768447             0.1973686           303.9997            151.9998            
1759                20.42195            1801216             1802239             0.3831291           156.6052            156.6052            
1787                20.74703            1829888             1830911             0.3250809           184.5695            92.28473            
1795                20.83991            1838080             1839103             0.09287834          646.0063            80.75079            
1805                20.95601            1848320             1849343             0.1161003           516.7945            129.1986            
1866                21.66422            1910784             1911807             0.7082081           84.72086            169.4417            
1888                21.91964            1933312             1934335             0.2554207           234.9066            117.4533            
